id,name,content_type_id,codename
1,Can add custom user,1,add_customuser
2,Can change custom user,1,change_customuser
3,Can delete custom user,1,delete_customuser
4,Can view custom user,1,view_customuser
5,Can add error log,2,add_errorlog
6,Can change error log,2,change_errorlog
7,Can delete error log,2,delete_errorlog
8,Can view error log,2,view_errorlog
9,Can add cultivation method,3,add_cultivationmethod
10,Can change cultivation method,3,change_cultivationmethod
11,Can delete cultivation method,3,delete_cultivationmethod
12,Can view cultivation method,3,view_cultivationmethod
13,Can add disease type,4,add_diseasetype
14,Can change disease type,4,change_diseasetype
15,Can delete disease type,4,delete_diseasetype
16,Can view disease type,4,view_diseasetype
17,Can add grape variety,5,add_grapevariety
18,Can change grape variety,5,change_grapevariety
19,Can delete grape variety,5,delete_grapevariety
20,Can view grape variety,5,view_grapevariety
21,Can add growth stage,6,add_growthstage
22,Can change growth stage,6,change_growthstage
23,Can delete growth stage,6,delete_growthstage
24,Can view growth stage,6,view_growthstage
25,Can add reminder,7,add_reminder
26,Can change reminder,7,change_reminder
27,Can delete reminder,7,delete_reminder
28,Can view reminder,7,view_reminder
29,Can add pesticide,8,add_pesticide
30,Can change pesticide,8,change_pesticide
31,Can delete pesticide,8,delete_pesticide
32,Can view pesticide,8,view_pesticide
33,Can add fungicide,9,add_fungicide
34,Can change fungicide,9,change_fungicide
35,Can delete fungicide,9,delete_fungicide
36,Can view fungicide,9,view_fungicide
37,Can add log entry,10,add_logentry
38,Can change log entry,10,change_logentry
39,Can delete log entry,10,delete_logentry
40,Can view log entry,10,view_logentry
41,Can add permission,11,add_permission
42,Can change permission,11,change_permission
43,Can delete permission,11,delete_permission
44,Can view permission,11,view_permission
45,Can add group,12,add_group
46,Can change group,12,change_group
47,Can delete group,12,delete_group
48,Can view group,12,view_group
49,Can add user,13,add_user
50,Can change user,13,change_user
51,Can delete user,13,delete_user
52,Can view user,13,view_user
53,Can add content type,14,add_contenttype
54,Can change content type,14,change_contenttype
55,Can delete content type,14,delete_contenttype
56,Can view content type,14,view_contenttype
57,Can add session,15,add_session
58,Can change session,15,change_session
59,Can delete session,15,delete_session
60,Can view session,15,view_session
61,Can add 地块信息,16,add_field
62,Can change 地块信息,16,change_field
63,Can delete 地块信息,16,delete_field
64,Can view 地块信息,16,view_field
65,Can add crop season,17,add_cropseason
66,Can change crop season,17,change_cropseason
67,Can delete crop season,17,delete_cropseason
68,Can view crop season,17,view_cropseason
69,Can add 天气API,18,add_weather
70,Can change 天气API,18,change_weather
71,Can delete 天气API,18,delete_weather
72,Can view 天气API,18,view_weather
73,Can add 15天气API,19,add_weather15
74,Can change 15天气API,19,change_weather15
75,Can delete 15天气API,19,delete_weather15
76,Can view 15天气API,19,view_weather15
77,Can add 地块气象数据,20,add_fieldhourlyweather
78,Can change 地块气象数据,20,change_fieldhourlyweather
79,Can delete 地块气象数据,20,delete_fieldhourlyweather
80,Can view 地块气象数据,20,view_fieldhourlyweather
81,Can add 作物天气小时气象数据,21,add_crophourlyweather
82,Can change 作物天气小时气象数据,21,change_crophourlyweather
83,Can delete 作物天气小时气象数据,21,delete_crophourlyweather
84,Can view 作物天气小时气象数据,21,view_crophourlyweather
85,Can add 作物天气天气象数据,22,add_cropdailyweather
