uuid,tree_age,grape_variety,cultivation_method,field_name,field_lon,field_lat,field_size,created_datetime,updated_datetime,cultivation_uuid_id,field_uuid_id,variety_uuid_id
c4d4a2ef-b6f6-4dbb-949f-defae3db2679,1,阳光玫瑰,露天栽培,test1,109.48161,24.07781,3802.7,2024-11-28T14:39:24.936738+00:00,2024-11-28T14:39:24.936755+00:00,960362b0-fb3a-44dd-8261-c842ee516913,cb4a7285-2e8b-4586-840a-3a7da6415e11,ea676092-9fbe-431f-9639-7b1dd58125fd
62f4173f-0c6f-44a6-9629-11e205def74b,10,毛葡萄野酿2,露天栽培,都安康盛毛葡萄,108.10886,23.82869,355.09,2024-07-30T03:32:06.447650+00:00,2024-07-30T03:32:06.447668+00:00,960362b0-fb3a-44dd-8261-c842ee516913,8edc47ab-fd39-49b8-902a-5ebd9b2421f9,8291658e-8342-4f76-b3b0-571a51f96091
a61c13b6-ceed-4309-b372-4f25012d1926,1,夏黑,露天栽培,1234,109.40369,24.07447,4687.7,2024-01-05T07:43:01.693443+00:00,2024-01-05T07:43:01.693460+00:00,960362b0-fb3a-44dd-8261-c842ee516913,80b1de43-c7a5-44ca-a18a-647d08f75262,92431ccc-ef09-437a-bd8c-109fe93679ed
e3c81de4-a748-4a06-8b11-072a9f182e4f,12,毛葡萄野酿2,露天栽培,陈记果,108.79134,24.74444,11.62,2025-04-28T07:43:34.070088+00:00,2025-04-28T07:43:34.070106+00:00,960362b0-fb3a-44dd-8261-c842ee516913,198de752-d68e-4d8b-803d-b98f750897d8,8291658e-8342-4f76-b3b0-571a51f96091
1d6678ba-21be-4298-a982-aeaba2f08c17,20,夏黑,露天栽培,天霜葡萄,108.76685,24.72403,149.89,2025-05-06T11:32:10.023394+00:00,2025-05-06T11:32:10.023410+00:00,960362b0-fb3a-44dd-8261-c842ee516913,e57f8524-3d5e-445f-bd25-8ad7d091bc3e,92431ccc-ef09-437a-bd8c-109fe93679ed
073cd7a2-4109-4586-bcf8-5bb9d5d4e7c2,3,阳光玫瑰,避雨栽培,农高新,117.54397,35.94893,29.97,2025-06-24T08:08:48.242566+00:00,2025-06-24T08:08:48.242583+00:00,38596e04-8595-4a31-8121-39678f903ddb,0681b7d5-1bc9-4298-82f2-92328f562004,ea676092-9fbe-431f-9639-7b1dd58125fd
ad91f27c-06c0-4ec2-a348-c18348fcf3fe,1,夏黑,露天栽培,f1,108.0752,34.29895,75.22,2024-06-17T15:08:11.966193+00:00,2024-06-17T15:08:11.966213+00:00,960362b0-fb3a-44dd-8261-c842ee516913,fd7f32b1-b881-46d0-a1cf-9511c0ddbde7,92431ccc-ef09-437a-bd8c-109fe93679ed
c961dae4-a1f2-4d25-ac97-2d2f0bd03185,2,巨峰,避雨栽培,出来了,116.45915,39.9456,49.04,2025-08-06T08:21:35.139085+00:00,2025-08-06T08:21:35.139102+00:00,38596e04-8595-4a31-8121-39678f903ddb,5ebd5f1d-bbbb-4cc0-a64c-5587c74626de,c6e5a7e0-3d4c-4429-bf95-23d53ae34ae2
70af000f-7d1f-4d81-b501-778b16e1af7d,6,夏黑,露天栽培,test6,108.40112,22.80121,0.4,2024-06-21T09:20:58.661404+00:00,2024-06-21T09:20:58.661421+00:00,960362b0-fb3a-44dd-8261-c842ee516913,2cc30eb7-b6ea-4969-99fa-9a8070941eea,92431ccc-ef09-437a-bd8c-109fe93679ed
90435ce2-23a7-4a2d-8569-2c0d7f5fa2cd,10,毛葡萄野酿2,露天栽培,镇兴毛葡萄,108.05164,23.82684,21.25,2025-09-22T06:04:04.292759+00:00,2025-09-22T06:04:04.292776+00:00,960362b0-fb3a-44dd-8261-c842ee516913,9e3b1cf8-e346-47e3-aa32-d11b943fec7f,8291658e-8342-4f76-b3b0-571a51f96091
88e73c7e-45bb-44fa-8485-170339cdbe2a,1,夏黑,露天栽培,111,113.52673,22.34829,37.78,2025-10-10T06:04:07.331926+00:00,2025-10-10T06:04:07.331943+00:00,960362b0-fb3a-44dd-8261-c842ee516913,bb7ff028-1c7e-42fb-96d6-6eff79c5714c,92431ccc-ef09-437a-bd8c-109fe93679ed
efdbe548-dd39-4703-8717-45dc363a2551,1,夏黑,露天栽培,明阳葡萄园,108.23459,22.60738,6.11,2025-11-02T12:01:48.185335+00:00,2025-11-03T01:39:04.054853+00:00,960362b0-fb3a-44dd-8261-c842ee516913,ae079178-1192-4ba8-a55f-a0ecfd4ceb4d,92431ccc-ef09-437a-bd8c-109fe93679ed
21f92586-cdcd-4a12-94bd-2fbb5a7dfc0f,1,夏黑,露天栽培,测试1111,117.12555,36.19742,22.87,2025-12-29T02:46:12.476928+00:00,2025-12-29T02:46:12.476944+00:00,960362b0-fb3a-44dd-8261-c842ee516913,4090838b-9c2e-4021-973a-26722d7d7916,92431ccc-ef09-437a-bd8c-109fe93679ed
aef2fbfa-4e2f-4352-b5be-ac2f8f039e10,1,夏黑,露天栽培,12346,109.28595,24.24573,59255.1,2024-10-12T08:03:11.068122+00:00,2024-10-12T08:03:11.068136+00:00,960362b0-fb3a-44dd-8261-c842ee516913,0e418556-e72f-4eb1-a004-9a0bcdd3ede9,92431ccc-ef09-437a-bd8c-109fe93679ed
6596a2df-64f2-4ec9-8d4f-f0a4ed762b73,1,毛葡萄野酿2,露天栽培,罗城四把镇里乐村,108.70642,24.68666,2.74,2026-04-22T02:07:05.957129+00:00,2026-04-22T02:07:05.957166+00:00,960362b0-fb3a-44dd-8261-c842ee516913,5687c62c-198e-47ef-8f0b-e62930362236,8291658e-8342-4f76-b3b0-571a51f96091
4db49e0b-c012-4935-bf9d-da5bd32e85cb,1,夏黑,露天栽培,2222,116.44139,39.93825,753.96,2026-04-24T08:36:56.785426+00:00,2026-04-24T08:36:56.785442+00:00,960362b0-fb3a-44dd-8261-c842ee516913,02b9c48a-0ae4-4147-b909-6cd3b0b2d340,92431ccc-ef09-437a-bd8c-109fe93679ed
38701420-0562-43e4-9ae3-8c3721ae56d0,10,巨峰,露天栽培,1,123.07001,41.02839,67.07,2024-04-01T06:27:42.106292+00:00,2024-04-01T06:27:42.106310+00:00,960362b0-fb3a-44dd-8261-c842ee516913,4aa2397f-c03d-4619-b8c8-a5560e0307fb,c6e5a7e0-3d4c-4429-bf95-23d53ae34ae2
3e254ea0-e095-4c05-bbd0-303b5940e94b,9,毛葡萄野酿系列,露天栽培,安阳,108.1101,23.83194,0.78,2024-04-02T05:06:40.307074+00:00,2024-04-02T05:06:40.307092+00:00,960362b0-fb3a-44dd-8261-c842ee516913,cb7a3fe8-5c8e-4478-afba-13866b0984cd,70dc8fbf-dde2-49fc-9fed-eaabefdd2071
4954e5eb-a067-4840-8033-25379394a25f,1,夏黑,露天栽培,hh,109.36103,24.15041,507.83,2024-10-23T07:22:13.699417+00:00,2024-10-23T07:22:13.699433+00:00,960362b0-fb3a-44dd-8261-c842ee516913,636117ed-f4dd-4f22-80e0-63947371a78f,92431ccc-ef09-437a-bd8c-109fe93679ed
ae4c4a84-8354-4798-ae16-37ac0af2f161,1,夏黑,露天栽培,111111,117.1269,36.19957,133.47,2024-10-26T03:39:27.248188+00:00,2024-10-26T03:39:27.248205+00:00,960362b0-fb3a-44dd-8261-c842ee516913,bc9b70a9-d518-4cfa-b138-3e6094d062c3,92431ccc-ef09-437a-bd8c-109fe93679ed
8d65d616-5d0a-419a-ac93-014be6ab7027,1,夏黑,露天栽培,963,117.1227,36.20607,18.01,2024-10-26T07:15:11.550493+00:00,2024-10-26T07:15:11.550509+00:00,960362b0-fb3a-44dd-8261-c842ee516913,eadb2469-4477-4c0b-ba38-5324f503f3a8,92431ccc-ef09-437a-bd8c-109fe93679ed
c0606352-db28-4159-b1a7-8ad5899165b1,1,夏黑,露天栽培,111,120.12376,36.00519,22.32,2024-10-27T08:46:38.535830+00:00,2024-10-27T08:46:38.535848+00:00,960362b0-fb3a-44dd-8261-c842ee516913,140d9dc0-f336-49ba-8483-d0c26771095a,92431ccc-ef09-437a-bd8c-109fe93679ed
e39fdf27-3a08-4d75-943c-91aa66a0556e,1,夏黑,露天栽培,ljd,109.36056,24.14926,235.24,2024-10-31T08:38:20.275635+00:00,2024-10-31T08:38:20.275651+00:00,960362b0-fb3a-44dd-8261-c842ee516913,a01f7829-20ce-4589-a6a6-78cf11d7b773,92431ccc-ef09-437a-bd8c-109fe93679ed
738d1982-ba09-4116-a7e6-7836e03c0f2c,1,夏黑,露天栽培,122,109.36155,24.15338,35.25,2024-11-01T01:35:33.010110+00:00,2024-11-01T01:35:33.010134+00:00,960362b0-fb3a-44dd-8261-c842ee516913,fbdcad8d-4034-47e9-a43e-d8ef785f408e,92431ccc-ef09-437a-bd8c-109fe93679ed
f121bb88-7752-4bce-bdbc-3c0bb8199deb,7,夏黑,露天栽培,地块,107.9546,23.98481,10.63,2024-11-04T04:14:21.379895+00:00,2024-11-04T04:14:21.379913+00:00,960362b0-fb3a-44dd-8261-c842ee516913,e3478f54-b561-44d3-9e41-c14c35b27fb4,92431ccc-ef09-437a-bd8c-109fe93679ed
563413c5-5283-4619-b57b-c82fd87d5505,8,夏黑,露天栽培,测试地块,108.10793,23.83136,92.26,2024-11-04T06:05:50.276678+00:00,2024-11-04T06:05:50.276695+00:00,960362b0-fb3a-44dd-8261-c842ee516913,9893db0c-0934-4213-9e3b-8180e5a31610,92431ccc-ef09-437a-bd8c-109fe93679ed
10fc83a4-7fc7-43ec-8f12-fa95eccee76d,1,大粒玫瑰香,避雨栽培,宛如,109.3608,24.14818,261.42,2024-11-04T08:13:44.535580+00:00,2024-11-04T08:13:44.535597+00:00,38596e04-8595-4a31-8121-39678f903ddb,68e6497d-256e-462e-96ad-d27fab6b08d1,0eb398ba-f139-4593-8f4e-4966a8183192
805b9204-1c5a-4f59-a86b-9cda4f85a505,1,夏黑,露天栽培,field,109.35418,24.23258,2642.58,2024-01-11T08:35:03.095262+00:00,2024-01-11T08:35:17.015409+00:00,960362b0-fb3a-44dd-8261-c842ee516913,78422b38-535f-4637-b0ee-de4d7c550eaf,92431ccc-ef09-437a-bd8c-109fe93679ed
49c8f293-d778-4c8e-91ee-a936bc544c79,1,夏黑,露天栽培,vv,109.34343,24.14886,2779.83,2024-01-11T08:47:57.774908+00:00,2024-01-11T08:47:57.774925+00:00,960362b0-fb3a-44dd-8261-c842ee516913,1aaa8b37-6a32-4866-9dc2-61422fcde9c4,92431ccc-ef09-437a-bd8c-109fe93679ed
4563f27b-135b-4b10-a730-f4a7c1d2d765,1,夏黑,露天栽培,taian,117.12714,36.19865,140.24,2024-04-23T05:41:02.948197+00:00,2024-04-23T05:41:02.948222+00:00,960362b0-fb3a-44dd-8261-c842ee516913,b229624e-7d16-441a-a82c-db32214d1eea,92431ccc-ef09-437a-bd8c-109fe93679ed
9322dabf-0c52-451d-b6ec-792826dcea35,10,毛葡萄野酿2,露天栽培,国隆毛葡萄,107.99245,24.09916,39.26,2024-07-30T08:01:38.152571+00:00,2024-07-30T08:01:38.152589+00:00,960362b0-fb3a-44dd-8261-c842ee516913,4b65b473-1230-4b05-acd0-e95d11aab705,8291658e-8342-4f76-b3b0-571a51f96091
24793793-2d39-46f2-9354-8c5ff47ba7cc,1,夏黑,露天栽培,test,104.95862,35.79616,7546734052.12,2024-11-28T18:19:33.819755+00:00,2024-11-28T18:19:33.819773+00:00,960362b0-fb3a-44dd-8261-c842ee516913,37829650-3cee-4c81-8a0e-4dd83297b3fd,92431ccc-ef09-437a-bd8c-109fe93679ed
48d2658b-83c1-42a8-9eb7-e4bd3327db56,6,阳光玫瑰,露天栽培,泰山区,117.17673,36.20943,509744.71,2025-03-16T05:09:31.650328+00:00,2025-03-16T05:09:31.650354+00:00,960362b0-fb3a-44dd-8261-c842ee516913,e3508dbf-7b25-4657-82d0-787a001ee18e,ea676092-9fbe-431f-9639-7b1dd58125fd
d32e5118-0d98-47ae-9d37-9459de1d0fd3,1,夏黑,露天栽培,ljd,109.35356,24.12879,18793.64,2024-01-11T11:19:02.454141+00:00,2024-01-11T11:19:02.454158+00:00,960362b0-fb3a-44dd-8261-c842ee516913,0f04a0fd-c4a2-4e15-a498-22c725eca94d,92431ccc-ef09-437a-bd8c-109fe93679ed
c4767585-6816-48e7-98c3-72a835602bcf,1,夏黑,露天栽培,hvb,109.3721,24.11333,40533.0,2024-01-11T11:20:07.757796+00:00,2024-01-11T11:20:07.757814+00:00,960362b0-fb3a-44dd-8261-c842ee516913,fbe563d7-bdec-40a6-a67d-4a4a69f3d1f5,92431ccc-ef09-437a-bd8c-109fe93679ed
4d946297-33cf-4a78-aa20-c6485f487ce4,13,毛葡萄野酿2,露天栽培,罗城仫佬族自治县添添种植家庭农场,108.69418,24.70303,91.55,2025-04-28T08:50:13.845067+00:00,2025-04-28T08:50:13.845085+00:00,960362b0-fb3a-44dd-8261-c842ee516913,cad10ed0-9986-4e74-b544-655ec1d81dd0,8291658e-8342-4f76-b3b0-571a51f96091
90b4bf02-3589-4882-acfe-945b824c5675,1,阳光玫瑰,露天栽培,test1,114.51557,38.0003,3.76,2025-05-10T03:31:43.167276+00:00,2025-05-10T03:31:43.167295+00:00,960362b0-fb3a-44dd-8261-c842ee516913,0e5a4939-0056-4e66-a2ad-022cd339fca2,ea676092-9fbe-431f-9639-7b1dd58125fd
3d12f850-5078-4fac-a411-6da915180958,2,阳光玫瑰,避雨栽培,农高新智慧葡萄大棚,117.55088,35.94761,12.34,2025-07-03T07:57:20.482513+00:00,2025-07-03T07:57:20.482532+00:00,38596e04-8595-4a31-8121-39678f903ddb,e287d8dc-93b8-48ed-aad8-e2c69290696d,ea676092-9fbe-431f-9639-7b1dd58125fd
529f149c-c84e-4e41-8418-0cc9b052b5d1,8,毛葡萄野酿2,露天栽培,都安（不打）,108.10965,23.82991,5.02,2024-04-26T00:58:50.417068+00:00,2024-04-26T00:58:50.417085+00:00,960362b0-fb3a-44dd-8261-c842ee516913,32f1d8db-22ea-45a0-9823-459836414517,8291658e-8342-4f76-b3b0-571a51f96091
fd83bd28-bb02-495d-b1f0-41db2972e656,1,阳光玫瑰,露天栽培,我去取,109.34337,24.10967,348.77,2024-03-30T06:48:48.242247+00:00,2024-04-28T07:11:51.966921+00:00,960362b0-fb3a-44dd-8261-c842ee516913,c2fda895-a6ec-4f6c-a59a-d4a99e3d71e8,ea676092-9fbe-431f-9639-7b1dd58125fd
3b92b168-f1ea-4d74-b28c-7a4b1c068163,1,巨峰,露天栽培,明阳模型,108.23119,22.61043,3.33,2024-05-01T04:51:49.157662+00:00,2024-05-01T04:51:49.157692+00:00,960362b0-fb3a-44dd-8261-c842ee516913,3779def5-2a29-4a3b-a037-c068314ef2a6,c6e5a7e0-3d4c-4429-bf95-23d53ae34ae2
