id,status,run_time,duration,finished,exception,traceback,job_id
845,Executed,2024-11-11T22:00:00+00:00,1689.57,1731364089.57,,,job3
2,Executed,2023-09-16T16:10:00+00:00,0.22,1694880600.22,,,job
3,Executed,2023-09-17T05:25:30+00:00,147.82,1694928477.82,,,job3
4,Executed,2023-09-17T16:10:00+00:00,0.37,1694967000.37,,,job
846,Executed,2024-11-12T16:10:00+00:00,28.61,1731427828.61,,,job
6,Executed,2023-09-18T16:10:00+00:00,0.2,1695053400.2,,,job
847,Executed,2024-11-12T22:00:00+00:00,1772.42,1731450572.42,,,job3
8,Executed,2023-09-19T16:10:00+00:00,0.44,1695139800.44,,,job
9,Executed,2023-09-20T06:50:30+00:00,106.08,1695192736.08,,,job3
10,Executed,2023-09-20T16:10:00+00:00,0.2,1695226200.2,,,job
11,Executed,2023-09-21T06:50:30+00:00,113.51,1695279143.51,,,job3
12,Executed,2023-09-21T16:10:00+00:00,0.37,1695312600.37,,,job
13,Executed,2023-09-22T06:50:30+00:00,111.31,1695365541.31,,,job3
14,Executed,2023-09-22T16:10:00+00:00,0.21,1695399000.21,,,job
15,Executed,2023-09-23T06:50:30+00:00,124.09,1695451954.09,,,job3
16,Executed,2023-09-23T16:10:00+00:00,0.21,1695485400.21,,,job
848,Executed,2024-11-13T16:10:00+00:00,27.87,1731514227.87,,,job
18,Executed,2023-09-24T16:10:00+00:00,0.2,1695571800.2,,,job
19,Executed,2023-09-25T06:50:30+00:00,111.96,1695624741.96,,,job3
20,Executed,2023-09-25T16:10:00+00:00,0.2,1695658200.2,,,job
21,Executed,2023-09-26T06:50:30+00:00,120.87,1695711150.87,,,job3
22,Executed,2023-09-26T16:10:00+00:00,0.2,1695744600.2,,,job
23,Executed,2023-09-27T06:50:30+00:00,120.23,1695797550.23,,,job3
24,Executed,2023-09-27T16:10:00+00:00,0.3,1695831000.3,,,job
25,Executed,2023-09-28T06:50:30+00:00,123.33,1695883953.33,,,job3
26,Executed,2023-09-28T16:10:00+00:00,0.2,1695917400.2,,,job
27,Executed,2023-09-29T06:50:30+00:00,152.16,1695970382.16,,,job3
