id,app_label,model
1,user,customuser
2,grapeapp,errorlog
3,master_data,cultivationmethod
4,master_data,diseasetype
5,master_data,grapevariety
6,master_data,growthstage
7,master_data,reminder
8,master_data,pesticide
9,master_data,fungicide
10,admin,logentry
11,auth,permission
12,auth,group
13,auth,user
14,contenttypes,contenttype
15,sessions,session
16,field,field
17,crop,cropseason
18,weather,weather
19,weather,weather15
20,weather,fieldhourlyweather
21,weather,crophourlyweather
22,weather,cropdailyweather
23,note,recode
24,note,note
25,note,image
26,note,incidencenote
27,note,growthstagenote
28,phenmodel,phenmodeldata
29,task,cropprotection
30,task,pesticides
31,task,irrigation
32,task,fungicides
33,django_apscheduler,djangojob
34,django_apscheduler,djangojobexecution
35,notice,notification
36,disease,rb_data
37,disease,disease
38,weatherdata,cropweather
39,phendata,phendata
40,diseasedata,rb
41,diseasedata,diseasedata
42,apitest,recode
43,yolo,image
44,yolo,yolo_m
45,vitgpt,vit
46,vitgpt,image
47,message,message
48,message,messagetext
49,forum,commentimage
50,forum,comment
51,forum,forum_notice
52,forum,reply
53,forum,forumpost
54,forum,postimage
55,warn,discoveringdiseases
56,unet,imagepaths
57,unet,user_text_infor
58,unet,text_infor
59,seg,imageupload
60,suggestions,suggestion
61,grapepdf,pdf
62,jiaojia,jiaojia
63,jiaojia,image
64,message,jiaojiamessage
