id,app,name,applied
1,contenttypes,0001_initial,2023-09-11T14:48:29.300956+00:00
2,auth,0001_initial,2023-09-11T14:48:29.406466+00:00
3,admin,0001_initial,2023-09-11T14:48:29.436025+00:00
4,admin,0002_logentry_remove_auto_add,2023-09-11T14:48:29.446333+00:00
5,admin,0003_logentry_add_action_flag_choices,2023-09-11T14:48:29.457723+00:00
6,contenttypes,0002_remove_content_type_name,2023-09-11T14:48:29.478297+00:00
7,auth,0002_alter_permission_name_max_length,2023-09-11T14:48:29.491033+00:00
8,auth,0003_alter_user_email_max_length,2023-09-11T14:48:29.503888+00:00
9,auth,0004_alter_user_username_opts,2023-09-11T14:48:29.516297+00:00
10,auth,0005_alter_user_last_login_null,2023-09-11T14:48:29.528995+00:00
11,auth,0006_require_contenttypes_0002,2023-09-11T14:48:29.535455+00:00
12,auth,0007_alter_validators_add_error_messages,2023-09-11T14:48:29.546376+00:00
13,auth,0008_alter_user_username_max_length,2023-09-11T14:48:29.562823+00:00
14,auth,0009_alter_user_last_name_max_length,2023-09-11T14:48:29.575642+00:00
15,auth,0010_alter_group_name_max_length,2023-09-11T14:48:29.589430+00:00
16,auth,0011_update_proxy_permissions,2023-09-11T14:48:29.600731+00:00
17,auth,0012_alter_user_first_name_max_length,2023-09-11T14:48:29.612926+00:00
18,master_data,0001_initial,2023-09-11T14:48:29.686145+00:00
19,user,0001_initial,2023-09-11T14:48:29.709532+00:00
20,field,0001_initial,2023-09-11T14:48:29.737217+00:00
21,crop,0001_initial,2023-09-11T14:48:29.771971+00:00
22,disease,0001_initial,2023-09-11T14:48:29.818854+00:00
23,diseasedata,0001_initial,2023-09-11T14:48:29.866211+00:00
24,django_apscheduler,0001_initial,2023-09-11T14:48:29.905642+00:00
25,django_apscheduler,0002_auto_20180412_0758,2023-09-11T14:48:29.914910+00:00
26,django_apscheduler,0003_auto_20200716_1632,2023-09-11T14:48:29.938984+00:00
27,django_apscheduler,0004_auto_20200717_1043,2023-09-11T14:48:29.991587+00:00
28,django_apscheduler,0005_migrate_name_to_id,2023-09-11T14:48:30.018967+00:00
29,django_apscheduler,0006_remove_djangojob_name,2023-09-11T14:48:30.029503+00:00
30,django_apscheduler,0007_auto_20200717_1404,2023-09-11T14:48:30.052350+00:00
31,django_apscheduler,0008_remove_djangojobexecution_started,2023-09-11T14:48:30.063037+00:00
32,django_apscheduler,0009_djangojobexecution_unique_job_executions,2023-09-11T14:48:30.075056+00:00
33,grapeapp,0001_initial,2023-09-11T14:48:30.088296+00:00
34,note,0001_initial,2023-09-11T14:48:30.210995+00:00
35,notice,0001_initial,2023-09-11T14:48:30.253421+00:00
36,phendata,0001_initial,2023-09-11T14:48:30.290004+00:00
37,phenmodel,0001_initial,2023-09-11T14:48:30.325339+00:00
38,sessions,0001_initial,2023-09-11T14:48:30.345266+00:00
39,task,0001_initial,2023-09-11T14:48:30.467253+00:00
40,weather,0001_initial,2023-09-11T14:48:30.669725+00:00
41,weatherdata,0001_initial,2023-09-11T14:48:30.708744+00:00
42,apitest,0001_initial,2023-09-21T07:05:19.967066+00:00
43,yolo,0001_initial,2023-12-17T07:29:54.696244+00:00
44,message,0001_initial,2024-01-06T12:28:56.822530+00:00
45,vitgpt,0001_initial,2024-01-06T12:28:56.906300+00:00
46,yolo,0002_alter_image_image,2024-01-06T12:28:56.915554+00:00
47,message,0002_message_history,2024-01-09T11:47:38.658632+00:00
48,forum,0001_initial,2024-02-27T04:20:55.471840+00:00
49,forum,0002_forumpost_updated_at,2024-02-27T06:46:56.544781+00:00
50,warn,0001_initial,2024-03-03T06:06:46.881373+00:00
51,master_data,0002_grapevariety_resistance_description_and_more,2024-04-08T06:37:17.102730+00:00
52,warn,0002_discoveringdiseases_disease_image,2024-04-10T06:20:34.672726+00:00
53,task,0002_cropprotection_field_name,2024-04-26T02:57:08.065992+00:00
54,task,0003_irrigation_field_name,2024-04-26T04:34:40.166834+00:00
55,field,0002_field_notice,2024-04-27T07:36:33.117366+00:00
57,unet,0001_initial,2024-04-27T09:27:41.972611+00:00
58,unet,0002_text_infor_delete_user_text_infor,2024-04-29T10:25:35.998048+00:00
59,field,0003_field_share_user,2024-05-14T07:51:54.493347+00:00
60,seg,0001_initial,2024-05-29T07:23:26.203650+00:00
61,forum,0003_alter_forum_notice_title_alter_forumpost_title,2024-06-18T07:15:06.078240+00:00
62,user,0002_customuser_user_name,2024-07-21T08:11:44.406050+00:00
63,field,0004_field_region,2024-08-08T06:31:38.568914+00:00
64,master_data,0002_alter_grapevariety_options_grapevariety_sort_order,2024-09-19T11:30:29.644067+00:00
65,master_data,0003_alter_grapevariety_options_grapevariety_sort_order,2024-09-19T12:15:38.574466+00:00
66,suggestions,0001_initial,2024-10-18T14:22:22.756972+00:00
67,master_data,0004_fungicide_fungicide_type,2024-10-24T10:17:38.654393+00:00
68,grapepdf,0001_initial,2024-11-01T11:07:40.467728+00:00
69,jiaojia,0001_initial,2025-01-21T07:34:15.809960+00:00
70,message,0002_jiaojiamessage,2025-01-21T07:49:22.371791+00:00
