uuid,bbch,operate,period_of_execution
7b0883d7-9c4b-4b8f-826a-e0bbdf44b159,9,灌溉,萌芽
e588294b-8fab-4ac1-aa66-9d339434cad3,60,灌溉,开花
541bc6d7-a00c-4004-ad39-8bfbd7c91752,65,灌溉,全部开花
7fb2dd01-6599-4411-a7de-20bc65400361,69,灌溉,开花结束
fb02d33b-69b7-4f49-8074-82d9f641c3db,71,灌溉,坐果
a3189862-edf4-402b-9dab-bdd9216cbac2,89,灌溉,采收完成
1e405bf6-856b-4288-8def-4079738ec401,9,施肥,萌芽
cb98b77c-1b02-4dfd-ad73-097fa39ffea6,53,施肥,花序清晰可见
2e14488c-fc86-4a17-8f5b-05b3ae0b2bbe,61,施肥,开花
6f9fbc60-8f13-4a86-b023-15efc334e943,71,施肥,坐果
82778c66-c06d-435e-8edb-ff6ccf3894dc,77,施肥,浆果挤压
188bfa0b-8048-4f76-8b4c-01e6b1b678a0,83,施肥,转色
d44504bb-867b-4327-921d-7cd4a112b0b0,89,施肥,成熟前
bd42a52f-8151-41fe-b506-285b42cc94cf,89,施肥,采收后
41362e3d-45de-4008-b18b-cb9ea1820f02,75,套袋,一串串悬挂着豌豆大小的小浆果
