uuid,created_datetime,updated_datetime,type,crop_uuid_id
05713c13-b3e8-4392-a1b1-5f1e3b0ebbf8,2024-04-01T06:35:56.722133+00:00,2024-04-01T06:35:56.722152+00:00,1,a1edff62-cc96-4109-b1aa-1dfb95f953a9
ea03d79a-673a-4cb1-aecd-34babd536f11,2024-06-21T08:20:36.714275+00:00,2024-06-21T08:20:36.714302+00:00,1,445f0f8a-cd86-4e50-8f6d-0604c1376dde
c1a17a2b-c0a4-49cc-9773-ea154994354b,2024-06-21T08:20:55.765509+00:00,2024-06-21T08:20:55.765527+00:00,2,445f0f8a-cd86-4e50-8f6d-0604c1376dde
23fef094-44d8-4e43-b396-63dfa91d9c0e,2024-06-21T08:21:03.872319+00:00,2024-06-21T08:21:03.872337+00:00,3,445f0f8a-cd86-4e50-8f6d-0604c1376dde
b487e21c-1fae-4b40-993a-420178e58084,2024-06-21T08:27:36.366341+00:00,2024-06-21T08:27:36.366359+00:00,1,32bcbca2-bcac-4be2-99fb-55744735efd2
0c0b8c2c-6b57-4b02-990c-826387600d79,2024-06-21T08:27:46.822113+00:00,2024-06-21T08:27:46.822130+00:00,2,32bcbca2-bcac-4be2-99fb-55744735efd2
2cf7d32a-0dab-4156-b590-1867caf7db54,2024-06-21T08:27:55.280519+00:00,2024-06-21T08:27:55.280536+00:00,3,32bcbca2-bcac-4be2-99fb-55744735efd2
daa642b5-adce-4895-9640-c78ee2cc7f15,2024-10-27T08:47:17.386384+00:00,2024-10-27T08:47:17.386401+00:00,1,c0606352-db28-4159-b1a7-8ad5899165b1
fa90a682-449a-4e2a-9dd0-574d8c056b11,2024-10-30T13:03:24.853903+00:00,2024-10-30T13:03:24.853921+00:00,2,c0606352-db28-4159-b1a7-8ad5899165b1
10c5093b-04ee-4cd1-bb59-cd96b2376e7e,2024-10-30T13:03:39.120099+00:00,2024-10-30T13:03:39.120117+00:00,3,c0606352-db28-4159-b1a7-8ad5899165b1
e300d5aa-8764-4cc7-b4f2-39e9369234a9,2024-11-01T07:49:13.811285+00:00,2024-11-01T07:49:13.811302+00:00,1,c0606352-db28-4159-b1a7-8ad5899165b1
9fd15e41-0da2-41a7-b003-3669cdc80fc3,2024-11-01T07:49:33.597782+00:00,2024-11-01T07:49:33.597800+00:00,2,c0606352-db28-4159-b1a7-8ad5899165b1
a480cd04-3df5-42bc-8720-b6d6bedbcd27,2024-11-01T07:49:44.137557+00:00,2024-11-01T07:49:44.137574+00:00,3,c0606352-db28-4159-b1a7-8ad5899165b1
814cf8b2-0552-41d2-bc8e-0cd10b8cc328,2024-11-04T04:14:37.708530+00:00,2024-11-04T04:14:37.708559+00:00,1,1774ef3b-1213-456a-a9ca-8bc4a9b3975a
6cfbd04e-0135-4778-8a02-5ba33aee05a6,2024-11-04T04:14:54.520256+00:00,2024-11-04T04:14:54.520274+00:00,2,1774ef3b-1213-456a-a9ca-8bc4a9b3975a
618e42b6-5757-40cd-b617-b0b6bd32465c,2024-11-04T04:15:12.290854+00:00,2024-11-04T04:15:12.290873+00:00,3,1774ef3b-1213-456a-a9ca-8bc4a9b3975a
6af61458-d499-4f53-81aa-4a4092d7480f,2024-11-11T08:52:43.759683+00:00,2024-11-11T08:52:43.759702+00:00,2,67ece375-ca1a-49cf-8931-b098a1585900
bad74a0d-2b67-4281-a549-f3d3323df2a4,2024-11-12T13:44:24.881736+00:00,2024-11-12T13:44:24.881755+00:00,1,18454d06-060e-411e-a66f-5eec8f04d7ab
15dd86ad-bdeb-4fb5-8679-1b520365d57d,2024-11-15T08:07:39.673098+00:00,2024-11-15T08:07:39.673116+00:00,3,67ece375-ca1a-49cf-8931-b098a1585900
439914d9-d50d-4b4a-a24f-6d68737ff78e,2025-03-16T05:25:09.104038+00:00,2025-03-16T05:25:09.104058+00:00,1,4b4b64d3-7da2-4818-8d6e-8c1ec54f56ca
2fc40123-e9ff-4860-a288-f24835cbab2e,2025-09-18T01:50:21.723521+00:00,2025-09-18T01:50:21.723539+00:00,1,6d415e77-559d-4216-8b2d-7b0003afe74f
