uuid,sprayer_capacity,mixer_capacity,water_consumption,execution_time,type,task_status,container,crop_uuid_id,field_name
9cecd525-b0c0-4a41-9900-7287673306bb,15,500,18535,2025-05-06,植保,已过期,大型容器,1dac3861-ceff-45bd-b431-b535a42a23df,
3797ed92-6ecc-4df6-a119-b0c41b915a48,15,100,140631,2024-01-08,植保,已完成,大型容器,a61c13b6-ceed-4309-b372-4f25012d1926,1234
22903470-6b68-49f4-b970-3881a392cf6f,15,100,25,2024-05-10,植保,已完成,喷雾器,56de75a0-6a7f-4317-ac0b-fa1072572031,
b19a91c8-f0a4-41db-819f-fc602cbbec98,15,100,1766,2024-10-27,植保,已完成,喷雾器,6d415e77-559d-4216-8b2d-7b0003afe74f,
6b040b6c-823f-4123-9922-72bcf6dd4859,15,100,23,2024-05-11,植保,已过期,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
5284613d-f54b-47e1-ace8-6f436015cba9,15,100,2256,2024-06-25,植保,已过期,大型容器,ad91f27c-06c0-4ec2-a348-c18348fcf3fe,
faee05a1-ab6c-43a0-b6b2-88497bd354a5,15,100,140631,2024-04-02,植保,已过期,大型容器,a61c13b6-ceed-4309-b372-4f25012d1926,1234
3ff55e3b-a5cc-435a-871b-8de79318bb42,15,100,140631,2024-01-14,植保,已过期,大型容器,a61c13b6-ceed-4309-b372-4f25012d1926,1234
4edb394a-13d9-4eec-98a8-5aef34d042c9,15,100,99,2024-05-20,植保,已完成,喷雾器,3b92b168-f1ea-4d74-b28c-7a4b1c068163,
ea54efa1-966d-42ec-a468-69069ababe1b,15,100,4126,2026-04-24,植保,已过期,大型容器,59f3dfc4-9c48-4191-ba88-f083641be764,
0c1124ac-f44b-4afa-95ce-ba5f7e0fbbc8,15,100,2256,2024-07-26,植保,已过期,大型容器,ad91f27c-06c0-4ec2-a348-c18348fcf3fe,
44e16fd1-d84e-47df-8bed-1ccef1fef880,15,100,1177,2024-07-20,植保,已完成,大型容器,9322dabf-0c52-451d-b6ec-792826dcea35,
57fbbe24-0d73-4a9f-8a13-86d82a6b8e0b,15,100,149,2024-05-14,植保,已完成,喷雾器,28da9d16-dca6-42d0-a44d-a7276db2b249,明阳基地（正常）
63c5e883-6445-4412-b35a-1f55478e9a80,15,100,2256,2024-06-18,植保,已完成,喷雾器,ad91f27c-06c0-4ec2-a348-c18348fcf3fe,
bff066c0-e538-43a7-bd25-724ec25e3119,15,100,10652,2024-08-06,植保,已完成,大型容器,62f4173f-0c6f-44a6-9629-11e205def74b,
692536d5-6d95-456e-abe2-f435d8b5215d,15,100,140631,2024-05-24,植保,已过期,喷雾器,a61c13b6-ceed-4309-b372-4f25012d1926,1234
21ef1384-f47b-421d-82c0-898880db1293,15,100,13218,2024-11-12,植保,已完成,大型容器,b4519910-2c4e-43e0-a847-2ef9414ff4e9,
78d560d2-8327-4dcf-b845-8a63eb734edd,15,100,22,2024-06-22,植保,已完成,喷雾器,7c081873-fad2-49c1-84cb-c6250e3ad2c7,
8ee3fa42-3500-4732-bcf8-761fcab0f265,15,100,269,2024-04-20,植保,已完成,喷雾器,fff5b035-4ea9-40f6-90c5-0645b58c1a66,都安（通知）
408a9e80-a0cd-49cd-8f56-a2717c829ae8,15,100,476,2024-05-01,植保,已完成,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
36c96aad-fbd0-4f36-aa32-a11644b66d39,15,100,23,2024-08-26,植保,已完成,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
a72be1cc-8872-488b-9c95-7610c3d7d9d4,16,100,186,2024-06-21,植保,已完成,喷雾器,f6eea95c-9b5d-4e6b-843b-b6bd54df779a,
2b2ed6d6-099c-4e38-b166-944a9f08237c,15,100,263,2024-10-31,植保,已完成,大型容器,da8f920f-3f05-4e2d-b3fd-a97c3c392987,
4a808f28-84dd-4f44-a81f-b46a35597fd1,15,20,8,2024-04-20,植保,已完成,大型容器,a905d079-8c12-4cd2-b0d3-b02790173545,
cf8dc2b5-415d-486c-869c-337ce2748fe3,15,100,686,2026-04-24,植保,已过期,大型容器,21f92586-cdcd-4a12-94bd-2fbb5a7dfc0f,
7d680dc4-4e3c-4424-8764-987a3a848963,15,100,7057,2024-10-31,植保,已过期,大型容器,e39fdf27-3a08-4d75-943c-91aa66a0556e,
41874009-4475-46dd-a539-52ccc320f80f,15,100,14468,2026-05-14,植保,未执行,喷雾器,a778ce5d-6d47-420c-a292-95b45958231b,
41113be2-b5dc-4145-9ad7-87da9e1906d3,15,100,476,2024-04-24,植保,已过期,大型容器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
f1ca807e-3698-4f76-a033-53bf546ae921,30,100,23,2024-04-20,植保,已过期,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
1db58902-2359-4cab-a475-ab3a5e7bcf3a,15,100,37,2024-05-28,植保,已完成,喷雾器,d0871a80-485c-42cd-add7-8a3400ed3672,
066e8354-898a-4836-96e2-f4bb66ec02f8,15,100,606,2024-11-12,植保,已完成,大型容器,18454d06-060e-411e-a66f-5eec8f04d7ab,
3033400f-9c09-4784-aa3c-ea3a2dd7212b,15,100,23,2024-06-04,植保,已完成,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
