id,fungicide_name,dose,dose_unit,total_unit,task_id
682,波尔多液,2.33,g/L,克,9faf56f0-cce1-4d7b-835a-d0bb3f4d9e74
683,代森锰锌,1.73,g/L,克,9faf56f0-cce1-4d7b-835a-d0bb3f4d9e74
688,波尔多液,2.33,g/L,克,bffbf320-ae46-4214-97a5-164a4fb52719
945,波尔多液,2.33,g/L,克,408a9e80-a0cd-49cd-8f56-a2717c829ae8
689,代森锰锌,1.73,g/L,克,bffbf320-ae46-4214-97a5-164a4fb52719
639,波尔多液,2.33,g/L,克,bb72a38e-641a-43fb-873f-b9d05fd0aad5
946,代森锰锌,1.73,g/L,克,408a9e80-a0cd-49cd-8f56-a2717c829ae8
807,唑嘧·代森联,0.8,g/L,克,6b040b6c-823f-4123-9922-72bcf6dd4859
1387,氰霜·嘧菌酯,0.23,ml/L,毫升,281800de-90a6-4115-9f5e-ac64a32ffdf9
1388,代森锰锌,1.73,g/L,克,281800de-90a6-4115-9f5e-ac64a32ffdf9
957,波尔多液,2.4,g/L,克,cf554b8b-01fe-42eb-ba53-8254a1f84d65
958,代森锰锌,1.8,g/L,克,cf554b8b-01fe-42eb-ba53-8254a1f84d65
963,代森锰锌,1.8,g/L,克,f340ec3f-36b5-45c8-8f9a-fc12c186c2b9
1548,代森锰锌,1.73,g/L,克,39142ea6-3245-4dd2-a2f4-d2ce1141e57a
640,代森锰锌,1.73,g/L,克,bb72a38e-641a-43fb-873f-b9d05fd0aad5
808,氰霜·嘧菌酯,0.23,ml/L,毫升,6b040b6c-823f-4123-9922-72bcf6dd4859
811,氰霜·嘧菌酯,0.23,ml/L,毫升,9c289f17-bedb-4da6-bda5-676fbc66863f
641,嘧菌酯,0.86,ml/L,毫升,bb72a38e-641a-43fb-873f-b9d05fd0aad5
964,波尔多液,2.4,g/L,克,f340ec3f-36b5-45c8-8f9a-fc12c186c2b9
1552,精甲霜·锰锌,4.33,g/L,克,88933dc1-5fa9-46e1-b766-d03a768bbede
1553,波尔多液,2.33,g/L,克,88933dc1-5fa9-46e1-b766-d03a768bbede
1554,氰霜·嘧菌酯,0.23,ml/L,毫升,88933dc1-5fa9-46e1-b766-d03a768bbede
1557,代森锰锌,1.73,g/L,克,8d212870-2925-4cf0-8c14-1a071752767b
829,唑嘧·代森联,0.8,g/L,克,4edb394a-13d9-4eec-98a8-5aef34d042c9
