uuid,irrigation_method,irrigation_duration,irrigation_dosage,execution_time,type,task_status,crop_uuid_id,irrigation_period_id,field_name
36f0759c-b320-4671-9a78-ca445a152501,浇灌,1小时0分钟,500,2024-06-21,灌溉,已完成,068ec16e-d1c1-4ce8-bbe1-0fe008fb7836,bcd73352-76d9-42e3-b08d-29b0e110ec58,
cce43e0f-26d2-4e69-b587-0a2b69fb075a,浇灌,1小时0分钟,500,2024-06-21,灌溉,已完成,445f0f8a-cd86-4e50-8f6d-0604c1376dde,c9df68a9-7c62-4e60-a772-85db7d4ecbff,
77715ba9-2971-4e51-a2a9-d7681737ed9e,浇灌,1小时0分钟,500,2024-06-21,灌溉,已过期,7c081873-fad2-49c1-84cb-c6250e3ad2c7,a818cb78-9ff0-4797-9f96-7e1026e482a2,
ef66be9e-d2e3-4038-8f0e-63b40632db3d,喷灌,1小时0分钟,500,2024-03-30,灌溉,已过期,aa45dc67-a444-4b21-8ee4-57924246d580,bcd73352-76d9-42e3-b08d-29b0e110ec58,
3d34cd33-6fbb-4578-b264-ffed491e18fb,浇灌,1小时0分钟,500,2025-08-07,灌溉,已完成,c961dae4-a1f2-4d25-ac97-2d2f0bd03185,ef967f97-ecf9-4264-9f28-0111694247d5,
bdee1306-1088-49e4-8694-52562227835e,喷灌,1小时0分钟,500,2026-05-14,灌溉,未执行,a778ce5d-6d47-420c-a292-95b45958231b,ef967f97-ecf9-4264-9f28-0111694247d5,
bb0d16c3-a389-4d60-a945-ec7c047aa641,浇灌,2小时0分钟,500,2024-06-22,灌溉,已完成,f6eea95c-9b5d-4e6b-843b-b6bd54df779a,a818cb78-9ff0-4797-9f96-7e1026e482a2,
5f84120b-0ea4-4b48-ae5a-b041e1e1c561,浇灌,1小时0分钟,500,2024-06-21,灌溉,已完成,32bcbca2-bcac-4be2-99fb-55744735efd2,a6fb16fc-1939-4a70-8ff6-578b0a72a718,
a491e865-2079-479e-94e9-cb976c8ccd11,浇灌,1小时0分钟,500,2024-06-21,灌溉,已过期,7c081873-fad2-49c1-84cb-c6250e3ad2c7,bcd73352-76d9-42e3-b08d-29b0e110ec58,
f514aa0f-1a85-4083-9e0d-60bb73bb2d7f,喷灌,1小时0分钟,500,2024-04-30,灌溉,已过期,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,bcd73352-76d9-42e3-b08d-29b0e110ec58,
