crop_uuid,field_name,variety,weather_records,phenology_records,risk_records,notification_records,task_records,completed_task_records,fungicide_records,note_records,incidence_note_records,coverage_score
32bcbca2-bcac-4be2-99fb-55744735efd2,test5,黑玫瑰,1,1,1,6,1,1,2,3,1,8
445f0f8a-cd86-4e50-8f6d-0604c1376dde,test4,黑玫瑰,1,1,1,4,1,1,2,3,1,8
1774ef3b-1213-456a-a9ca-8bc4a9b3975a,广西,夏黑,1,1,1,1,3,2,5,3,1,8
18454d06-060e-411e-a66f-5eec8f04d7ab,道朗镇1号,夏黑,1,1,1,17,1,1,3,1,0,7
6d415e77-559d-4216-8b2d-7b0003afe74f,54,夏黑,1,1,1,16,2,1,8,1,0,7
4b4b64d3-7da2-4818-8d6e-8c1ec54f56ca,岳麓山,夏黑,1,1,1,1,2,0,4,1,0,7
06f61fab-d768-4a0a-8105-bc4069f69b09,弄耀毛葡萄,毛葡萄野酿2,1,1,1,59,3,3,8,0,0,6
56de75a0-6a7f-4317-ac0b-fa1072572031,毛葡萄通知,毛葡萄野酿1,1,1,1,54,5,5,11,0,0,6
a905d079-8c12-4cd2-b0d3-b02790173545,毛葡萄,毛葡萄野酿系列,1,1,1,54,1,1,2,0,0,6
fff5b035-4ea9-40f6-90c5-0645b58c1a66,都安（通知）,毛葡萄野酿2,1,1,1,53,4,4,7,0,0,6
7224cbfc-a075-49f3-a298-9edbdb8f2519,毛葡萄正常打,毛葡萄野酿2,1,1,1,53,3,3,6,0,0,6
62f4173f-0c6f-44a6-9629-11e205def74b,都安康盛毛葡萄,毛葡萄野酿2,1,1,1,53,2,2,4,0,0,6
72a9612a-fdc7-4d5c-ac98-c2f857d98ec0,都安（正常）,毛葡萄野酿2,1,1,1,52,3,3,6,0,0,6
3e254ea0-e095-4c05-bbd0-303b5940e94b,安阳,毛葡萄野酿系列,1,1,1,51,9,5,13,0,0,6
d0871a80-485c-42cd-add7-8a3400ed3672,明阳正常打,巨峰,1,1,1,50,4,4,8,0,0,6
ad91f27c-06c0-4ec2-a348-c18348fcf3fe,f1,夏黑,1,1,1,50,4,2,3,0,0,6
28da9d16-dca6-42d0-a44d-a7276db2b249,明阳基地（正常）,巨峰,1,1,1,50,3,3,5,0,0,6
3b92b168-f1ea-4d74-b28c-7a4b1c068163,明阳模型,巨峰,1,1,1,50,2,2,3,0,0,6
8ac31b72-0267-4b2b-818b-b7498693c7cf,明阳,巨峰,1,1,1,47,5,5,5,0,0,6
a61c13b6-ceed-4309-b372-4f25012d1926,1234,夏黑,1,1,1,46,4,1,5,0,0,6
9322dabf-0c52-451d-b6ec-792826dcea35,国隆毛葡萄,毛葡萄野酿2,1,1,1,42,2,1,2,0,0,6
fd83bd28-bb02-495d-b1f0-41db2972e656,我去取,阳光玫瑰,1,1,1,39,1,0,1,0,0,6
38701420-0562-43e4-9ae3-8c3721ae56d0,1,巨峰,1,1,1,38,1,0,3,0,0,6
f321826f-1fc3-4cc9-a074-84161e912c88,112121,黑比诺,1,1,1,36,2,1,4,0,0,6
f6eea95c-9b5d-4e6b-843b-b6bd54df779a,test3,巨玫瑰,1,1,1,35,1,1,2,0,0,6
e875ec3b-1062-458d-a857-bb41b1d1199b,梁耀康毛葡萄,夏黑,1,1,1,32,1,1,2,0,0,6
e39fdf27-3a08-4d75-943c-91aa66a0556e,ljd,夏黑,1,1,1,31,4,0,5,0,0,6
19912ba1-a3a7-42b1-b365-cf0c2f2837ad,21,阳光玫瑰,1,1,1,28,23,3,42,0,0,6
10fc83a4-7fc7-43ec-8f12-fa95eccee76d,宛如,大粒玫瑰香,1,1,1,27,1,0,2,0,0,6
9331a461-45ce-4e79-94e6-a729f0f84653,测试地块2,阳光玫瑰,1,1,1,27,1,0,2,0,0,6
65a4dfb4-d3ea-4be8-aa12-737768decd75,明阳2号,大粒玫瑰香,1,1,1,25,2,0,3,0,0,6
b444a6dd-1219-4db5-b5c5-007c015d2498,测试地块2,阳光玫瑰,1,1,1,25,1,1,2,0,0,6
da8f920f-3f05-4e2d-b3fd-a97c3c392987,测试地块,阳光玫瑰,1,1,1,25,1,1,2,0,0,6
70af000f-7d1f-4d81-b501-778b16e1af7d,test6,夏黑,1,1,1,24,1,1,2,0,0,6
971df125-0140-4ae8-b067-e99bde55e2a2,道朗葡萄1,阳光玫瑰,1,1,1,21,1,1,4,0,0,6
92c5cc80-aa07-419a-bf47-f0d5c945b639,巴夫洛9号葡萄种植实验地,阳光玫瑰,1,1,1,20,2,2,8,0,0,6
38a98fc0-c4d3-4e18-90c8-1670a4158b5b,测试,夏黑,1,1,1,19,2,0,2,0,0,6
1dac3861-ceff-45bd-b431-b535a42a23df,广西农科院葡萄园,毛葡萄野酿2,1,1,1,18,2,0,2,0,0,6
315ff872-4e31-4959-9bff-56cd95346f8b,121,夏黑,1,1,1,18,1,0,1,0,0,6
b4519910-2c4e-43e0-a847-2ef9414ff4e9,巴富洛2号,夏黑,1,1,1,17,2,1,4,0,0,6
7c62c035-1291-41a3-a223-6ce4e4bf5837,巴地块1号,夏黑,1,1,1,17,1,1,2,0,0,6
a7eaa117-5576-4aaa-843f-c630002c4520,罗城县四把镇基地,毛葡萄野酿2,1,1,1,17,1,1,1,0,0,6
67ece375-ca1a-49cf-8931-b098a1585900,w,夏黑,1,1,1,16,0,0,0,2,1,6
59f3dfc4-9c48-4191-ba88-f083641be764,222,夏黑,1,1,1,14,3,0,2,0,0,6
ad427d04-b2a7-44a7-be42-fe05a7e33276,zwc,夏黑,1,1,1,14,2,0,3,0,0,6
7c081873-fad2-49c1-84cb-c6250e3ad2c7,1w,维多利亚,1,1,1,12,1,1,2,0,0,6
459a8948-b5cf-4a03-997d-ba547e977b2e,田块1,阳光玫瑰,1,1,1,11,1,0,2,0,0,6
91785a54-246c-4ef1-846c-791df6f71b5f,都安基地,毛葡萄野酿2,1,1,1,9,1,1,1,0,0,6
068ec16e-d1c1-4ce8-bbe1-0fe008fb7836,test2,巨玫瑰,1,1,1,3,1,1,2,0,0,6
79e693a4-3925-4ef8-91cf-7cbf01ec7bda,sdust,金手指,1,1,1,3,1,1,2,0,0,6
a778ce5d-6d47-420c-a292-95b45958231b,杨陵,阳光玫瑰,1,1,1,1,3,2,5,0,0,6
c961dae4-a1f2-4d25-ac97-2d2f0bd03185,出来了,巨峰,1,1,1,1,1,0,5,0,0,6
efdbe548-dd39-4703-8717-45dc363a2551,明阳葡萄园,夏黑,1,1,1,1,1,1,1,0,0,6
c0606352-db28-4159-b1a7-8ad5899165b1,111,夏黑,1,1,1,1,0,0,0,6,2,6
a1edff62-cc96-4109-b1aa-1dfb95f953a9,我的,金手指,1,1,1,44,0,0,0,1,0,5
4563f27b-135b-4b10-a730-f4a7c1d2d765,taian,夏黑,1,1,1,39,7,4,0,0,0,5
21f92586-cdcd-4a12-94bd-2fbb5a7dfc0f,测试1111,夏黑,1,1,1,0,3,0,1,0,0,5
805b9204-1c5a-4f59-a86b-9cda4f85a505,field,夏黑,1,1,1,63,0,0,0,0,0,4
aef2fbfa-4e2f-4352-b5be-ac2f8f039e10,12346,夏黑,1,1,1,60,0,0,0,0,0,4
