site_id,year,province,variety,source_variety_code,maturation,lat,lon,BBCH_Principal,observed_date,management_stage
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,2022-05-08,inflorescence_flowering
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,2022-05-11,inflorescence_flowering
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,53,2022-04-10,inflorescence_flowering
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,55,2022-04-17,inflorescence_flowering
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,57,2022-04-24,inflorescence_flowering
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,61,2022-05-04,inflorescence_flowering
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,71,2022-05-13,berry_development
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,75,2022-05-21,berry_development
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,55,2023-03-21,inflorescence_flowering
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,57,2023-03-27,inflorescence_flowering
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,71,2023-04-17,berry_development
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,73,2023-04-20,berry_development
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,75,2023-04-23,berry_development
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,77,2023-04-26,berry_development
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,2023-04-29,berry_development
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,81,2023-05-26,ripening
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,2023-06-04,ripening
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,85,2023-06-25,ripening
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,89,2023-07-01,ripening
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,2023-03-28,inflorescence_flowering
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,2023-04-10,inflorescence_flowering
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,2023-05-07,inflorescence_flowering
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,61,2023-05-13,inflorescence_flowering
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,71,2023-05-28,berry_development
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,2023-06-01,berry_development
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,2023-06-21,berry_development
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,2023-06-24,berry_development
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,81,2023-07-24,ripening
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,83,2023-07-30,ripening
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,85,2023-08-06,ripening
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,89,2023-08-16,ripening
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,55,2024-04-04,inflorescence_flowering
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,57,2024-04-07,inflorescence_flowering
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,61,2024-04-13,inflorescence_flowering
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,73,2024-04-19,berry_development
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,75,2024-04-28,berry_development
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,2024-05-10,berry_development
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,81,2024-05-29,ripening
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,83,2024-06-07,ripening
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,2024-06-16,ripening
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,89,2024-07-01,ripening
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,2024-04-18,inflorescence_flowering
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,2024-04-24,inflorescence_flowering
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,73,2024-05-12,berry_development
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,75,2024-05-21,berry_development
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,77,2024-06-03,berry_development
Duan,2024,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,79,2024-06-21,berry_development
