model,BBCH_Principal,GDD
deployable_recalibrated,00,0.0
deployable_recalibrated,01,58.79141544272564
deployable_recalibrated,05,158.697969321923
deployable_recalibrated,07,256.7156533542172
deployable_recalibrated,09,271.0999900928314
deployable_recalibrated,11,276.0999900928314
deployable_recalibrated,13,281.0999900928314
deployable_recalibrated,14,286.0999900928314
deployable_recalibrated,15,291.0999900928314
deployable_recalibrated,17,296.0999900928314
deployable_recalibrated,18,301.0999900928314
deployable_recalibrated,53,306.0999900928314
deployable_recalibrated,55,378.144522507888
deployable_recalibrated,57,492.5486348382453
deployable_recalibrated,60,622.2016788745383
deployable_recalibrated,61,627.2016788745383
deployable_recalibrated,62,632.2016788745383
deployable_recalibrated,63,694.6167589283071
deployable_recalibrated,65,750.6595662272504
deployable_recalibrated,68,755.6595662272504
deployable_recalibrated,69,760.6595662272504
deployable_recalibrated,71,765.6595662272504
deployable_recalibrated,73,767.4052913212911
deployable_recalibrated,75,869.1555181099458
deployable_recalibrated,76,1101.075362489716
deployable_recalibrated,77,1106.075362489716
deployable_recalibrated,79,1207.62775378261
deployable_recalibrated,81,1313.269116144484
deployable_recalibrated,83,1451.9106206618917
deployable_recalibrated,85,1692.0296029376798
deployable_recalibrated,89,1997.1167801641247
deployable_recalibrated,99,3210.2076085766635
