model,biofix_rule,evaluation,all_n_events,all_mean_abs_stage_distance,all_exact_major_accuracy,all_display_major_accuracy,all_transition_display_rate,all_adjacent_major_accuracy,all_severe_error_rate,core_no90_n_events,core_no90_mean_abs_stage_distance,core_no90_exact_major_accuracy,core_no90_display_major_accuracy,core_no90_transition_display_rate,core_no90_adjacent_major_accuracy,core_no90_severe_error_rate
cultivar_major_thresholds,tmean_ge_12_run_7d,3fold,151,0.4503311258278146,0.5761589403973509,0.7549668874172185,0.48344370860927155,0.9735099337748344,0.026490066225165563,150,0.44666666666666666,0.58,0.76,0.4866666666666667,0.9733333333333334,0.02666666666666667
cultivar_major_thresholds_offset,tmean_ge_12_run_7d,3fold,151,0.4503311258278146,0.5761589403973509,0.7549668874172185,0.48344370860927155,0.9735099337748344,0.026490066225165563,150,0.44666666666666666,0.58,0.76,0.4866666666666667,0.9733333333333334,0.02666666666666667
cultivar_major_thresholds,tmean_ge_8_run_7d,3fold,151,0.45695364238410596,0.5761589403973509,0.7483443708609272,0.4966887417218543,0.9668874172185431,0.033112582781456956,150,0.4533333333333333,0.58,0.7533333333333333,0.5,0.9666666666666667,0.03333333333333333
cultivar_major_thresholds_offset,tmean_ge_8_run_7d,3fold,151,0.45695364238410596,0.5761589403973509,0.7483443708609272,0.4966887417218543,0.9668874172185431,0.033112582781456956,150,0.4533333333333333,0.58,0.7533333333333333,0.5,0.9666666666666667,0.03333333333333333
cultivar_major_thresholds,tmean_ge_10_run_7d,3fold,151,0.45695364238410596,0.5761589403973509,0.7483443708609272,0.4966887417218543,0.9668874172185431,0.033112582781456956,150,0.4533333333333333,0.58,0.7533333333333333,0.5,0.9666666666666667,0.03333333333333333
cultivar_major_thresholds_offset,tmean_ge_10_run_7d,3fold,151,0.45695364238410596,0.5761589403973509,0.7483443708609272,0.4966887417218543,0.9668874172185431,0.033112582781456956,150,0.4533333333333333,0.58,0.7533333333333333,0.5,0.9666666666666667,0.03333333333333333
cultivar_major_thresholds,tmean_ge_10_run_3d,3fold,151,0.47019867549668876,0.5695364238410596,0.7350993377483444,0.4900662251655629,0.9602649006622517,0.039735099337748346,150,0.4666666666666667,0.5733333333333334,0.74,0.49333333333333335,0.96,0.04
cultivar_major_thresholds_offset,tmean_ge_10_run_3d,3fold,151,0.47019867549668876,0.5695364238410596,0.7350993377483444,0.4900662251655629,0.9602649006622517,0.039735099337748346,150,0.4666666666666667,0.5733333333333334,0.74,0.49333333333333335,0.96,0.04
cultivar_major_thresholds,tmean_ge_12_run_3d,3fold,151,0.47019867549668876,0.5695364238410596,0.7350993377483444,0.4900662251655629,0.9602649006622517,0.039735099337748346,150,0.4666666666666667,0.5733333333333334,0.74,0.49333333333333335,0.96,0.04
cultivar_major_thresholds_offset,tmean_ge_12_run_3d,3fold,151,0.47019867549668876,0.5695364238410596,0.7350993377483444,0.4900662251655629,0.9602649006622517,0.039735099337748346,150,0.4666666666666667,0.5733333333333334,0.74,0.49333333333333335,0.96,0.04
cultivar_major_thresholds,tmean_ge_8_run_3d,3fold,151,0.4768211920529801,0.5629139072847682,0.7350993377483444,0.4900662251655629,0.9602649006622517,0.039735099337748346,150,0.47333333333333333,0.5666666666666667,0.74,0.49333333333333335,0.96,0.04
cultivar_major_thresholds_offset,tmean_ge_8_run_3d,3fold,151,0.4768211920529801,0.5629139072847682,0.7350993377483444,0.4900662251655629,0.9602649006622517,0.039735099337748346,150,0.47333333333333333,0.5666666666666667,0.74,0.49333333333333335,0.96,0.04
cultivar_major_thresholds,tmean_ge_12_run_5d,3fold,151,0.46357615894039733,0.5761589403973509,0.7284768211920529,0.4966887417218543,0.9602649006622517,0.039735099337748346,150,0.46,0.58,0.7333333333333333,0.5,0.96,0.04
