site_id,year,province,variety,source_variety_code,maturation,lat,lon,BBCH_Principal,major_stage,major_stage_rank,observed_date
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,01,00,0,2022-03-31
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,05,00,0,2022-04-07
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,15,10,1,2022-04-14
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,15,10,1,2022-04-22
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,18,10,1,2022-04-30
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,50,2,2022-05-08
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2022-05-11
Duan,2022,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2022-05-19
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,00,00,0,2023-03-21
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,50,2,2023-03-28
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,50,2,2023-04-01
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,50,2,2023-04-04
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,53,50,2,2023-04-07
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-10
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-13
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-16
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-19
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-22
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-25
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-04-28
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-05-01
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,55,50,2,2023-05-04
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2,2023-05-07
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,57,50,2,2023-05-10
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,61,60,3,2023-05-13
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,63,60,3,2023-05-16
Duan,2023,GuangXi,毛葡萄野酿2号,MPT,晚,23.83,108.11,63,60,3,2023-05-20
