model,BBCH_Principal,GDD
deployable_recalibrated,00,0.0
deployable_recalibrated,01,114.55825563909742
deployable_recalibrated,05,233.05375625041873
deployable_recalibrated,07,260.13402062769575
deployable_recalibrated,09,298.0
deployable_recalibrated,11,315.428607558276
deployable_recalibrated,13,320.428607558276
deployable_recalibrated,14,325.428607558276
deployable_recalibrated,15,330.428607558276
deployable_recalibrated,17,335.428607558276
deployable_recalibrated,18,340.428607558276
deployable_recalibrated,53,345.428607558276
deployable_recalibrated,55,446.83466801382383
deployable_recalibrated,57,476.3646843135199
deployable_recalibrated,60,609.2513122896064
deployable_recalibrated,61,614.2513122896064
deployable_recalibrated,62,619.2513122896064
deployable_recalibrated,63,720.7785527228825
deployable_recalibrated,65,725.7785527228825
deployable_recalibrated,68,730.7785527228825
deployable_recalibrated,69,735.7785527228825
deployable_recalibrated,71,740.7785527228825
deployable_recalibrated,73,745.7785527228825
deployable_recalibrated,75,872.32525497172
deployable_recalibrated,76,1100.1888789014179
deployable_recalibrated,77,1182.460572626966
deployable_recalibrated,79,1212.5784925924754
deployable_recalibrated,81,1223.2437129690995
deployable_recalibrated,83,1358.4227019797615
deployable_recalibrated,85,1599.9581678719455
deployable_recalibrated,89,1910.3065699592896
deployable_recalibrated,99,3159.56831929051
