level,model,evaluation,n_events,n_matched,mae_days,rmse_days,bias_days,within_7_days,within_14_days
exact_bbch,baseline_interpolated,losyo,66,65,29.06153846153846,35.14169121625283,25.584615384615386,0.15384615384615385,0.35384615384615387
exact_bbch,baseline_interpolated,resubstitution,66,65,29.06153846153846,35.14169121625283,25.584615384615386,0.15384615384615385,0.35384615384615387
exact_bbch,cultivar_offset_calibrated,losyo,66,66,16.348484848484848,22.14312944951959,4.833333333333333,0.3181818181818182,0.5909090909090909
exact_bbch,cultivar_offset_calibrated,resubstitution,66,66,10.757575757575758,15.647635119994487,2.393939393939394,0.5757575757575758,0.7575757575757576
exact_bbch,pooled_calibrated,losyo,66,65,23.984615384615385,28.339426192551553,-0.6307692307692307,0.16923076923076924,0.3076923076923077
exact_bbch,pooled_calibrated,resubstitution,66,66,15.393939393939394,19.71924148765578,-0.8484848484848485,0.3181818181818182,0.5757575757575758
major_stage_first_date,baseline_interpolated,losyo,24,23,23.608695652173914,29.75479500999724,20.652173913043477,0.2608695652173913,0.43478260869565216
major_stage_first_date,baseline_interpolated,resubstitution,24,23,23.608695652173914,29.75479500999724,20.652173913043477,0.2608695652173913,0.43478260869565216
major_stage_first_date,cultivar_offset_calibrated,losyo,24,24,18.583333333333332,26.71921905046378,7.583333333333333,0.3333333333333333,0.625
major_stage_first_date,cultivar_offset_calibrated,resubstitution,24,24,12.833333333333334,18.110770276274835,3.8333333333333335,0.5,0.6666666666666666
major_stage_first_date,pooled_calibrated,losyo,24,23,21.782608695652176,25.412253121194354,1.0,0.17391304347826086,0.391304347826087
major_stage_first_date,pooled_calibrated,resubstitution,24,24,16.791666666666668,21.545494501944795,1.625,0.2916666666666667,0.5833333333333334
major_stage_state_on_observed_date,baseline_interpolated,losyo,61,61,,,,,0.2786885245901639
major_stage_state_on_observed_date,baseline_interpolated,resubstitution,61,61,,,,,0.2786885245901639
major_stage_state_on_observed_date,cultivar_offset_calibrated,losyo,60,60,,,,,0.4666666666666667
major_stage_state_on_observed_date,cultivar_offset_calibrated,resubstitution,61,61,,,,,0.6065573770491803
major_stage_state_on_observed_date,pooled_calibrated,losyo,60,60,,,,,0.35
major_stage_state_on_observed_date,pooled_calibrated,resubstitution,60,60,,,,,0.5
