model,BBCH_Principal,GDD
cultivar_offset_calibrated,01,302.80616806491906
cultivar_offset_calibrated,05,529.9884456732678
cultivar_offset_calibrated,07,573.331776076731
cultivar_offset_calibrated,14,642.2170452380076
cultivar_offset_calibrated,15,744.2789835987851
cultivar_offset_calibrated,17,744.3789835987851
cultivar_offset_calibrated,18,744.4789835987851
cultivar_offset_calibrated,53,744.5789835987852
cultivar_offset_calibrated,55,863.8971170024988
cultivar_offset_calibrated,57,934.7897477743109
cultivar_offset_calibrated,60,1080.853340062623
cultivar_offset_calibrated,61,1080.9533400626228
cultivar_offset_calibrated,62,1081.0533400626227
cultivar_offset_calibrated,63,1170.0107567608516
cultivar_offset_calibrated,68,1239.3664001440445
cultivar_offset_calibrated,71,1239.4664001440444
cultivar_offset_calibrated,73,1239.5664001440443
cultivar_offset_calibrated,75,1377.9199542766507
cultivar_offset_calibrated,76,1467.143681753488
cultivar_offset_calibrated,77,1806.3155548555947
cultivar_offset_calibrated,79,1880.8740372017048
cultivar_offset_calibrated,81,1934.8643077221361
cultivar_offset_calibrated,83,2106.6677885570502
cultivar_offset_calibrated,85,2400.423831582146
cultivar_offset_calibrated,89,2738.3426689699827
cultivar_offset_calibrated,99,3699.474308202657
