model,BBCH_Principal,GDD
pooled_calibrated,01,249.475230390065
pooled_calibrated,05,451.35868888686764
pooled_calibrated,07,491.95638211112663
pooled_calibrated,14,577.457055435724
pooled_calibrated,15,652.4717455964808
pooled_calibrated,17,652.5717455964808
pooled_calibrated,18,652.6717455964808
pooled_calibrated,53,652.7717455964809
pooled_calibrated,55,746.0187628099668
pooled_calibrated,57,828.4180094735931
pooled_calibrated,60,1007.2467192661828
pooled_calibrated,61,1007.3467192661828
pooled_calibrated,62,1007.4467192661829
pooled_calibrated,63,1063.0918050514495
pooled_calibrated,68,1124.036965715192
pooled_calibrated,71,1124.136965715192
pooled_calibrated,73,1124.236965715192
pooled_calibrated,75,1262.2607342144404
pooled_calibrated,76,1394.3648258849526
pooled_calibrated,77,1684.2062202903403
pooled_calibrated,79,1754.647501343165
pooled_calibrated,81,1819.2616494484253
pooled_calibrated,83,1988.180940085594
pooled_calibrated,85,2260.231042096563
pooled_calibrated,89,2619.392765308616
pooled_calibrated,99,3605.9183396678945
