level,model,evaluation,n_events,n_matched,mae_days,rmse_days,bias_days,within_7_days,within_14_days
exact_bbch,baseline_interpolated,3fold,66,65,29.06153846153846,35.14169121625283,25.584615384615386,0.15384615384615385,0.35384615384615387
exact_bbch,baseline_interpolated,resubstitution,66,65,29.06153846153846,35.14169121625283,25.584615384615386,0.15384615384615385,0.35384615384615387
exact_bbch,cultivar_offset_calibrated,3fold,66,66,23.939393939393938,31.067375463367004,-1.2424242424242424,0.16666666666666666,0.3333333333333333
exact_bbch,cultivar_offset_calibrated,resubstitution,66,66,11.287878787878787,16.80773631397161,2.5606060606060606,0.5454545454545454,0.7575757575757576
exact_bbch,pooled_calibrated,3fold,66,65,26.676923076923078,31.85495976356683,-3.5692307692307694,0.16923076923076924,0.2923076923076923
exact_bbch,pooled_calibrated,resubstitution,66,66,15.424242424242424,19.742278889671674,-0.5757575757575758,0.3333333333333333,0.5757575757575758
major_stage_first_date,baseline_interpolated,3fold,24,23,23.608695652173914,29.75479500999724,20.652173913043477,0.2608695652173913,0.43478260869565216
major_stage_first_date,baseline_interpolated,resubstitution,24,23,23.608695652173914,29.75479500999724,20.652173913043477,0.2608695652173913,0.43478260869565216
major_stage_first_date,cultivar_offset_calibrated,3fold,24,24,25.958333333333332,35.62478070107941,3.875,0.08333333333333333,0.375
major_stage_first_date,cultivar_offset_calibrated,resubstitution,24,24,14.625,21.080203983832796,5.041666666666667,0.5,0.625
major_stage_first_date,pooled_calibrated,3fold,24,23,25.869565217391305,30.051405233728076,-0.7391304347826086,0.13043478260869565,0.34782608695652173
major_stage_first_date,pooled_calibrated,resubstitution,24,24,16.833333333333332,21.472851076029315,1.9166666666666667,0.2916666666666667,0.5833333333333334
major_stage_state_on_observed_date,baseline_interpolated,3fold,61,61,,,,,0.2786885245901639
major_stage_state_on_observed_date,baseline_interpolated,resubstitution,61,61,,,,,0.2786885245901639
major_stage_state_on_observed_date,cultivar_offset_calibrated,3fold,60,60,,,,,0.36666666666666664
major_stage_state_on_observed_date,cultivar_offset_calibrated,resubstitution,60,60,,,,,0.6666666666666666
major_stage_state_on_observed_date,pooled_calibrated,3fold,60,60,,,,,0.3333333333333333
major_stage_state_on_observed_date,pooled_calibrated,resubstitution,60,60,,,,,0.48333333333333334
