run,level,model,evaluation,n_events,n_matched,mae_days,rmse_days,bias_days,within_7_days,within_14_days
offset250,exact_bbch,baseline_interpolated,losyo,66,65,29.06153846153846,35.14169121625283,25.584615384615383,0.1538461538461538,0.3538461538461538
offset250,exact_bbch,cultivar_offset_calibrated,losyo,66,66,16.348484848484848,22.14312944951959,4.833333333333333,0.3181818181818182,0.5909090909090909
offset250,exact_bbch,pooled_calibrated,losyo,66,65,23.984615384615385,28.339426192551553,-0.6307692307692307,0.1692307692307692,0.3076923076923077
offset250,major_stage_first_date,baseline_interpolated,losyo,24,23,23.60869565217391,29.75479500999724,20.652173913043477,0.2608695652173913,0.4347826086956521
offset250,major_stage_first_date,cultivar_offset_calibrated,losyo,24,24,18.583333333333332,26.71921905046378,7.583333333333333,0.3333333333333333,0.625
offset250,major_stage_first_date,pooled_calibrated,losyo,24,23,21.782608695652176,25.41225312119435,1.0,0.1739130434782608,0.391304347826087
offset250,major_stage_state_on_observed_date,baseline_interpolated,losyo,61,61,,,,,0.2786885245901639
offset250,major_stage_state_on_observed_date,cultivar_offset_calibrated,losyo,60,60,,,,,0.4666666666666667
offset250,major_stage_state_on_observed_date,pooled_calibrated,losyo,60,60,,,,,0.35
offset150,exact_bbch,baseline_interpolated,losyo,66,65,29.06153846153846,35.14169121625283,25.584615384615383,0.1538461538461538,0.3538461538461538
offset150,exact_bbch,cultivar_offset_calibrated,losyo,66,66,19.545454545454547,28.05027953190809,6.333333333333333,0.2727272727272727,0.4545454545454545
offset150,exact_bbch,pooled_calibrated,losyo,66,65,24.984615384615385,28.962575321106534,0.0,0.1076923076923077,0.2615384615384615
offset150,major_stage_first_date,baseline_interpolated,losyo,24,23,23.60869565217391,29.75479500999724,20.652173913043477,0.2608695652173913,0.4347826086956521
offset150,major_stage_first_date,cultivar_offset_calibrated,losyo,24,24,22.75,36.59576478228048,10.916666666666666,0.2083333333333333,0.5
offset150,major_stage_first_date,pooled_calibrated,losyo,24,23,22.304347826086957,25.77241531762881,1.2608695652173914,0.1739130434782608,0.3478260869565217
offset150,major_stage_state_on_observed_date,baseline_interpolated,losyo,61,61,,,,,0.2786885245901639
offset150,major_stage_state_on_observed_date,cultivar_offset_calibrated,losyo,60,60,,,,,0.4
offset150,major_stage_state_on_observed_date,pooled_calibrated,losyo,60,60,,,,,0.3333333333333333
