level,model,evaluation,n_events,n_matched,mae_days,rmse_days,bias_days,within_7_days,within_14_days
exact_bbch,baseline_interpolated,losyo,66,65,29.06153846153846,35.14169121625283,25.584615384615386,0.15384615384615385,0.35384615384615387
exact_bbch,baseline_interpolated,resubstitution,66,65,29.06153846153846,35.14169121625283,25.584615384615386,0.15384615384615385,0.35384615384615387
exact_bbch,cultivar_offset_calibrated,losyo,66,66,19.545454545454547,28.05027953190809,6.333333333333333,0.2727272727272727,0.45454545454545453
exact_bbch,cultivar_offset_calibrated,resubstitution,66,66,11.287878787878787,16.80773631397161,2.5606060606060606,0.5454545454545454,0.7575757575757576
exact_bbch,pooled_calibrated,losyo,66,65,24.984615384615385,28.962575321106534,0.0,0.1076923076923077,0.26153846153846155
exact_bbch,pooled_calibrated,resubstitution,66,66,15.424242424242424,19.742278889671674,-0.5757575757575758,0.3333333333333333,0.5757575757575758
major_stage_first_date,baseline_interpolated,losyo,24,23,23.608695652173914,29.75479500999724,20.652173913043477,0.2608695652173913,0.43478260869565216
major_stage_first_date,baseline_interpolated,resubstitution,24,23,23.608695652173914,29.75479500999724,20.652173913043477,0.2608695652173913,0.43478260869565216
major_stage_first_date,cultivar_offset_calibrated,losyo,24,24,22.75,36.595764782280476,10.916666666666666,0.20833333333333334,0.5
major_stage_first_date,cultivar_offset_calibrated,resubstitution,24,24,14.625,21.080203983832796,5.041666666666667,0.5,0.625
major_stage_first_date,pooled_calibrated,losyo,24,23,22.304347826086957,25.772415317628806,1.2608695652173914,0.17391304347826086,0.34782608695652173
major_stage_first_date,pooled_calibrated,resubstitution,24,24,16.833333333333332,21.472851076029315,1.9166666666666667,0.2916666666666667,0.5833333333333334
major_stage_state_on_observed_date,baseline_interpolated,losyo,61,61,,,,,0.2786885245901639
major_stage_state_on_observed_date,baseline_interpolated,resubstitution,61,61,,,,,0.2786885245901639
major_stage_state_on_observed_date,cultivar_offset_calibrated,losyo,60,60,,,,,0.4
major_stage_state_on_observed_date,cultivar_offset_calibrated,resubstitution,60,60,,,,,0.6666666666666666
major_stage_state_on_observed_date,pooled_calibrated,losyo,60,60,,,,,0.3333333333333333
major_stage_state_on_observed_date,pooled_calibrated,resubstitution,60,60,,,,,0.48333333333333334
