model,BBCH_Principal,GDD
baseline_interpolated,01,33.111111111111114
baseline_interpolated,05,165.55555555555557
baseline_interpolated,07,231.7777777777778
baseline_interpolated,14,347.38
baseline_interpolated,15,348.26
baseline_interpolated,17,350.02
baseline_interpolated,18,350.9
baseline_interpolated,53,381.7
baseline_interpolated,55,549.5
baseline_interpolated,57,702.1
baseline_interpolated,60,778.825
baseline_interpolated,61,804.4
baseline_interpolated,62,827.025
baseline_interpolated,63,849.65
baseline_interpolated,68,952.05
baseline_interpolated,71,982.2
baseline_interpolated,73,1152.8
baseline_interpolated,75,1311.2
baseline_interpolated,76,1376.3000000000002
baseline_interpolated,77,1441.4
baseline_interpolated,79,1575.2
baseline_interpolated,81,1731.8
baseline_interpolated,83,1877.9
baseline_interpolated,85,2087.3
baseline_interpolated,89,2833.0
baseline_interpolated,99,4697.25
