model,BBCH_Principal,GDD
cultivar_offset_calibrated,01,220.08243501708733
cultivar_offset_calibrated,05,406.2150279077775
cultivar_offset_calibrated,07,447.3092833518437
cultivar_offset_calibrated,14,535.6002468411972
cultivar_offset_calibrated,15,594.2452168970044
cultivar_offset_calibrated,17,594.3452168970044
cultivar_offset_calibrated,18,594.4452168970045
cultivar_offset_calibrated,53,594.5452168970045
cultivar_offset_calibrated,55,674.9445651361129
cultivar_offset_calibrated,57,755.4051210964591
cultivar_offset_calibrated,60,944.9277095570411
cultivar_offset_calibrated,61,945.0277095570411
cultivar_offset_calibrated,62,945.1277095570412
cultivar_offset_calibrated,63,983.2656206322864
cultivar_offset_calibrated,68,1040.923242562064
cultivar_offset_calibrated,71,1041.0232425620638
cultivar_offset_calibrated,73,1041.1232425620638
cultivar_offset_calibrated,75,1155.7931885012374
cultivar_offset_calibrated,76,1322.6257855229842
cultivar_offset_calibrated,77,1551.48702631061
cultivar_offset_calibrated,79,1608.771787369564
cultivar_offset_calibrated,81,1677.935751322723
cultivar_offset_calibrated,83,1833.3618859046255
cultivar_offset_calibrated,85,2075.3544087440364
cultivar_offset_calibrated,89,2418.0904373496255
cultivar_offset_calibrated,99,3470.837015139871
